metric,embeddings_only,embeddings_plus_gaze,improvement
auc,0.5991847723485897,0.6011380989835842,0.001953326634994479
average_precision,0.12116064761741138,0.13788518242300227,0.016724534805590885
accuracy,0.8647299353366299,0.8634937238493724,-0.0012362114872574992
precision,0.11089108910891089,0.15120274914089346,0.04031166003198257
recall,0.054395337542496355,0.08547838756677999,0.03108305002428363
f1,0.07298794395568589,0.10921501706484642,0.036227073109160526
specificity,0.952669583091762,0.947926000105413,-0.004743582986349026
sensitivity,0.054395337542496355,0.08547838756677999,0.03108305002428363
