metric,baseline,with_gaze,improvement
auc,0.6281884673844428,0.6744764207113578,0.04628795332691504
average_precision,0.09301555516567574,0.11114538812067962,0.01812983295500388
accuracy,0.8796358409199808,0.8930522280785816,0.013416387158600829
precision,0.09224011713030747,0.11173184357541899,0.019491726445111518
recall,0.09012875536480687,0.08583690987124463,-0.004291845493562235
f1,0.09117221418234443,0.0970873786407767,0.005915164458432265
specificity,0.9363188167625308,0.9510065735414954,0.014687756778964611
sensitivity,0.09012875536480687,0.08583690987124463,-0.004291845493562235
